imagen,angulo_brazos,angulo_rodilla,angulo_tronco,criterios_cumplidos,clasificacion
img1.jpg,156.99,110.29,71.55,2,CORRECTO
img10.jpg,93.03,116.44,134.06,2,CORRECTO
img10_aug1.jpg,135.17,142.58,145.16,1,INCORRECTO
img10_aug2.jpg,64.37,176.4,178.61,0,INCORRECTO
img10_aug3.jpg,84.91,175.8,177.66,0,INCORRECTO
img10_aug4.jpg,149.22,175.92,178.01,0,INCORRECTO
img10_aug5.jpg,133.71,122.1,134.5,2,CORRECTO
img11.jpg,174.35,116.32,110.2,3,CORRECTO
img11_aug1.jpg,172.07,118.95,112.27,3,CORRECTO
img11_aug2.jpg,176.76,116.77,112.53,3,CORRECTO
img11_aug3.jpg,177.52,114.96,107.97,2,CORRECTO
img11_aug4.jpg,160.83,119.29,112.28,3,CORRECTO
img11_aug5.jpg,173.59,114.37,107.24,2,CORRECTO
img11_aug6.jpg,174.41,115.13,109.42,2,CORRECTO
img11_aug7.jpg,170.37,118.09,110.65,3,CORRECTO
img12.jpg,81.77,134.72,85.97,1,INCORRECTO
img12_aug1.jpg,68.24,122.52,83.39,1,INCORRECTO
img12_aug2.jpg,109.56,119.08,77.94,1,INCORRECTO
img12_aug3.jpg,63.71,111.63,77.07,1,INCORRECTO
img12_aug4.jpg,112.84,115.33,76.92,1,INCORRECTO
img12_aug5.jpg,72.44,119.91,80.09,1,INCORRECTO
img12_aug6.jpg,87.73,120.24,80.25,1,INCORRECTO
img12_aug7.jpg,71.76,115.99,77.68,1,INCORRECTO
img13.png,173.65,130.18,92.97,2,CORRECTO
img13_aug1.png,177.51,130.56,88.47,2,CORRECTO
img13_aug2.png,175.34,129.86,87.73,2,CORRECTO
img13_aug3.png,173.65,130.18,92.97,2,CORRECTO
img13_aug4.png,178.46,134.22,85.9,2,CORRECTO
img13_aug5.png,173.72,127.44,90.45,2,CORRECTO
img13_aug6.png,173.45,129.48,92.36,2,CORRECTO
img13_aug7.png,171.84,130.66,93.11,2,CORRECTO
img14.png,179.23,115.42,61.09,2,CORRECTO
img14_aug1.png,179.62,109.27,55.49,2,CORRECTO
img14_aug2.png,173.86,112.97,60.91,2,CORRECTO
img14_aug3.png,178.43,115.3,64.98,2,CORRECTO
img14_aug4.png,179.65,112.21,55.97,2,CORRECTO
img14_aug5.png,179.52,116.02,57.36,2,CORRECTO
img14_aug6.png,176.48,111.31,59.41,2,CORRECTO
img14_aug7.png,174.28,116.79,64.23,2,CORRECTO
img15.png,179.67,129.49,90.13,2,CORRECTO
img15_aug1.png,179.42,124.84,83.5,2,CORRECTO
img15_aug2.png,177.93,132.11,91.01,2,CORRECTO
img15_aug3.png,178.16,131.06,91.66,2,CORRECTO
img15_aug4.png,174.45,130.37,90.93,2,CORRECTO
img15_aug5.png,178.01,130.9,91.46,2,CORRECTO
img15_aug6.png,179.32,128.71,89.09,2,CORRECTO
img15_aug7.png,176.81,131.26,91.95,2,CORRECTO
img16.png,169.57,125.72,114.51,3,CORRECTO
img16_aug1.png,169.45,122.28,109.28,2,CORRECTO
img16_aug2.png,179.37,122.62,116.25,3,CORRECTO
img16_aug3.png,166.22,120.49,112.81,3,CORRECTO
img16_aug4.png,169.57,125.72,114.51,3,CORRECTO
img16_aug5.png,32.51,116.09,113.71,2,CORRECTO
img16_aug6.png,34.8,117.91,110.61,2,CORRECTO
img16_aug7.png,174.63,125.12,116.91,3,CORRECTO
img17.png,169.07,167.13,165.44,1,INCORRECTO
img17_aug1.png,168.45,165.69,164.61,1,INCORRECTO
img17_aug2.png,158.83,167.44,164.25,1,INCORRECTO
img17_aug3.png,166.39,166.28,163.58,1,INCORRECTO
img17_aug4.png,141.04,165.47,164.42,0,INCORRECTO
img17_aug5.png,162.15,167.71,165.93,1,INCORRECTO
img17_aug6.png,169.07,167.13,165.44,1,INCORRECTO
img17_aug7.png,170.66,166.19,164.88,1,INCORRECTO
img18.png,166.46,166.63,163.26,1,INCORRECTO
img18_aug1.png,167.15,166.83,163.56,1,INCORRECTO
img18_aug2.png,174.43,166.26,162.52,1,INCORRECTO
img18_aug3.png,166.22,165.98,163.26,1,INCORRECTO
img18_aug4.png,165.26,167.16,162.11,1,INCORRECTO
img18_aug5.png,163.31,166.71,162.58,1,INCORRECTO
img18_aug6.png,163.61,165.6,163.33,1,INCORRECTO
img18_aug7.png,166.05,165.22,162.58,1,INCORRECTO
img19.png,169.96,120.69,106.6,2,CORRECTO
img19_aug1.png,171.77,121.87,108.74,2,CORRECTO
img19_aug2.png,69.9,113.28,105.12,1,INCORRECTO
img19_aug3.png,173.2,121.85,105.1,2,CORRECTO
img19_aug4.png,163.05,120.83,103.67,2,CORRECTO
img19_aug5.png,178.97,125.83,105.64,2,CORRECTO
img19_aug6.png,171.22,121.08,109.75,2,CORRECTO
img19_aug7.png,168.94,119.58,103.23,2,CORRECTO
img1_aug1.jpg,158.24,110.51,71.76,2,CORRECTO
img1_aug2.jpg,154.65,108.38,68.98,2,CORRECTO
img1_aug3.jpg,160.21,115.73,72.8,2,CORRECTO
img1_aug4.jpg,157.89,111.64,71.66,2,CORRECTO
img1_aug5.jpg,157.93,112.68,69.23,2,CORRECTO
img1_aug6.jpg,160.19,110.24,67.55,2,CORRECTO
img1_aug7.jpg,160.51,108.26,61.99,2,CORRECTO
img2.webp,162.77,117.27,120.79,3,CORRECTO
img20.png,167.64,138.62,110.48,2,CORRECTO
img20_aug1.png,164.42,136.07,106.97,1,INCORRECTO
img20_aug2.png,176.52,135.72,108.02,1,INCORRECTO
img20_aug3.png,171.54,138.07,108.51,1,INCORRECTO
img20_aug4.png,160.24,134.88,108.72,2,CORRECTO
img20_aug5.png,161.78,141.11,108.83,1,INCORRECTO
img20_aug6.png,159.31,131.12,108.55,2,CORRECTO
img20_aug7.png,170.31,138.6,109.56,1,INCORRECTO
img21.png,147.9,140.55,179.45,0,INCORRECTO
img21_aug1.png,153.41,139.5,177.58,1,INCORRECTO
img21_aug2.png,147.94,141.2,179.9,0,INCORRECTO
img21_aug3.png,156.73,136.0,175.21,1,INCORRECTO
img21_aug4.png,147.78,140.22,179.53,0,INCORRECTO
img21_aug5.png,144.54,141.61,177.68,0,INCORRECTO
img21_aug6.png,149.84,139.67,179.29,0,INCORRECTO
img21_aug7.png,147.79,140.52,179.44,0,INCORRECTO
img22.png,175.2,123.62,140.22,3,CORRECTO
img22_aug1.png,174.46,122.46,137.86,3,CORRECTO
img22_aug2.png,177.07,109.78,130.84,3,CORRECTO
img22_aug3.png,169.35,128.8,144.15,3,CORRECTO
img22_aug4.png,174.62,122.36,138.25,3,CORRECTO
img22_aug5.png,169.04,113.86,134.07,3,CORRECTO
img22_aug6.png,163.06,115.97,131.06,3,CORRECTO
img22_aug7.png,171.05,125.31,140.21,3,CORRECTO
img23.png,175.42,150.67,155.87,2,CORRECTO
img23_aug1.png,175.35,155.37,159.81,2,CORRECTO
img23_aug2.png,174.95,133.34,144.18,3,CORRECTO
img23_aug3.png,175.24,155.4,160.18,1,INCORRECTO
img23_aug4.png,174.56,152.81,159.0,2,CORRECTO
img23_aug5.png,178.42,138.65,122.22,2,CORRECTO
img23_aug6.png,176.64,148.49,155.66,2,CORRECTO
img23_aug7.png,177.43,139.56,142.35,2,CORRECTO
